	anat	fmap	func	runs_pe	runs_rest	runs_train
sub-001	1	5	5	2	1	2
sub-002	1	5	5	2	1	2
sub-003	0	4	4	2	0	2
sub-004	1	5	5	2	1	2
sub-006	1	5	5	2	1	2
sub-007	1	5	5	2	1	2
sub-008	1	0	0	0	0	0
sub-009	1	6	6	2	1	3
sub-010	1	5	5	2	1	2
sub-011	1	5	5	2	1	2
sub-012	1	5	5	2	1	2
sub-013	1	5	5	2	1	2
sub-014	1	5	5	2	1	2
sub-015	1	5	5	2	1	2
sub-016	1	6	6	2	1	3
sub-017	1	6	6	3	1	2
sub-018	1	4	4	1	1	2
sub-019	1	5	5	2	1	2
sub-020	0	0	0	0	0	0
sub-021	1	5	5	2	1	2
sub-022	1	5	5	2	1	2
sub-023	1	5	5	2	1	2
sub-025	1	0	0	0	0	0
sub-026	1	5	5	2	1	2
sub-027	1	5	5	2	1	2
sub-028	1	5	5	2	1	2
sub-029	1	5	5	2	1	2
sub-030	1	5	5	2	1	2
sub-031	1	5	5	2	1	2
sub-032	1	5	5	2	1	2
sub-033	1	5	5	2	1	2
sub-034	1	6	6	3	1	2
sub-036	1	5	5	2	1	2
sub-037	0	0	0	0	0	0
sub-038	1	5	5	2	1	2
sub-039	1	6	6	2	1	3
sub-040	1	5	5	2	1	2
sub-041	1	6	6	2	1	3
sub-042	0	3	3	2	1	0
sub-043	1	5	5	2	1	2
sub-044	1	5	5	2	1	2
sub-045	1	5	5	2	1	2
sub-046	1	5	5	2	1	2
sub-047	1	5	5	2	1	2
sub-048	1	5	5	2	1	2
sub-049	1	5	5	2	1	2
sub-050	1	6	6	2	1	3
sub-051	1	5	5	2	1	2
sub-052	1	5	5	2	1	2
sub-053	1	5	5	2	1	2
sub-054	1	5	5	2	1	2
sub-055	0	0	0	0	0	0
sub-056	1	5	5	2	1	2
