participantID,func_ct_v2,anat_ct_v2,fmap_ct_v2,func_ct_v1,anat_ct_v1,fmap_ct_v1
sub-001,5.0,1.0,3.0,,,
sub-002,5.0,1.0,3.0,,,
sub-003,4.0,0.0,3.0,5.0,1.0,3.0
sub-004,5.0,1.0,3.0,5.0,1.0,3.0
sub-006,5.0,1.0,3.0,5.0,1.0,3.0
sub-007,5.0,1.0,3.0,5.0,1.0,3.0
sub-008,5.0,1.0,3.0,5.0,1.0,3.0
sub-009,5.0,1.0,3.0,5.0,1.0,3.0
sub-010,5.0,1.0,3.0,5.0,1.0,3.0
sub-011,5.0,1.0,3.0,5.0,1.0,3.0
sub-012,5.0,1.0,3.0,5.0,1.0,3.0
sub-013,5.0,1.0,3.0,5.0,1.0,3.0
sub-014,5.0,1.0,3.0,5.0,1.0,3.0
sub-015,5.0,1.0,3.0,5.0,1.0,3.0
sub-016,5.0,1.0,3.0,5.0,1.0,3.0
sub-017,5.0,1.0,3.0,5.0,1.0,3.0
sub-018,4.0,1.0,3.0,3.0,1.0,3.0
sub-019,5.0,1.0,3.0,5.0,1.0,3.0
sub-020,,,,3.0,1.0,3.0
sub-021,5.0,1.0,3.0,5.0,1.0,3.0
sub-022,5.0,1.0,3.0,5.0,1.0,3.0
sub-023,4.0,1.0,3.0,5.0,1.0,3.0
sub-025,5.0,1.0,3.0,5.0,1.0,3.0
sub-026,5.0,1.0,3.0,5.0,1.0,3.0
sub-027,5.0,1.0,3.0,,,
sub-028,5.0,1.0,3.0,5.0,1.0,3.0
sub-029,5.0,1.0,3.0,5.0,1.0,3.0
sub-030,5.0,1.0,3.0,5.0,1.0,3.0
sub-031,5.0,1.0,3.0,5.0,1.0,3.0
sub-032,5.0,1.0,3.0,5.0,1.0,3.0
sub-033,5.0,1.0,3.0,5.0,1.0,3.0
sub-034,5.0,1.0,3.0,5.0,1.0,3.0
sub-035,,,,5.0,1.0,3.0
sub-036,5.0,1.0,3.0,5.0,1.0,3.0
sub-037,,,,3.0,1.0,3.0
sub-038,5.0,1.0,3.0,5.0,1.0,3.0
sub-039,5.0,1.0,3.0,5.0,1.0,3.0
sub-040,5.0,1.0,3.0,5.0,1.0,3.0
sub-041,5.0,1.0,3.0,5.0,1.0,3.0
sub-042,3.0,0.0,0.0,,,
sub-043,5.0,1.0,3.0,5.0,1.0,3.0
sub-044,5.0,1.0,3.0,5.0,1.0,3.0
sub-045,5.0,1.0,3.0,5.0,0.0,0.0
sub-046,5.0,1.0,3.0,5.0,1.0,3.0
sub-047,5.0,1.0,3.0,5.0,1.0,3.0
sub-048,5.0,1.0,1.0,5.0,1.0,3.0
sub-049,5.0,1.0,1.0,5.0,1.0,3.0
sub-050,5.0,1.0,1.0,5.0,1.0,3.0
sub-051,5.0,1.0,3.0,5.0,1.0,3.0
sub-052,5.0,1.0,3.0,5.0,1.0,3.0
sub-053,5.0,1.0,3.0,5.0,1.0,3.0
sub-054,5.0,1.0,3.0,5.0,1.0,3.0
sub-055,5.0,1.0,3.0,5.0,1.0,1.0
sub-056,5.0,1.0,3.0,4.0,1.0,3.0
