340.3074 	DATA 	Keypress: z
380.5372 	DATA 	Keypress: escape
380.7483 	DATA 	Keypress: escape
380.9273 	DATA 	Keypress: escape
381.0946 	DATA 	Keypress: escape
381.2876 	DATA 	Keypress: escape
381.4634 	DATA 	Keypress: escape
21495.6798 	DATA 	Keypress: escape
21497.1811 	DATA 	Keypress: q
21497.3637 	DATA 	Keypress: q
21497.5458 	DATA 	Keypress: q
21497.7345 	DATA 	Keypress: q
21497.9173 	DATA 	Keypress: q
21498.0986 	DATA 	Keypress: q
21498.2712 	DATA 	Keypress: q
21498.4511 	DATA 	Keypress: q
21498.6393 	DATA 	Keypress: q
21499.8229 	DATA 	Keypress: q
21500.0211 	DATA 	Keypress: q
21500.2030 	DATA 	Keypress: q
21500.4001 	DATA 	Keypress: o
21500.4004 	Level start key press 	25
21500.9775 	DATA 	Keypress: q
21501.1752 	DATA 	Keypress: q
21501.3573 	DATA 	Keypress: q
21501.5238 	DATA 	Keypress: q
21501.7215 	DATA 	Keypress: q
21501.9043 	DATA 	Keypress: q
21502.1037 	DATA 	Keypress: q
21502.2853 	DATA 	Keypress: q
21502.4849 	DATA 	Keypress: q
21502.6670 	DATA 	Keypress: q
21502.8659 	DATA 	Keypress: q
21503.0478 	DATA 	Keypress: q
21503.2636 	DATA 	Keypress: q
21503.4791 	DATA 	Keypress: q
21503.6615 	DATA 	Keypress: q
21503.8602 	DATA 	Keypress: q
21504.0602 	DATA 	Keypress: q
21504.2754 	DATA 	Keypress: q
21504.4411 	DATA 	Keypress: q
21504.6237 	DATA 	Keypress: q
21504.8387 	DATA 	Keypress: q
21505.0212 	DATA 	Keypress: q
21505.2034 	DATA 	Keypress: q
21505.3698 	DATA 	Keypress: q
21505.6009 	DATA 	Keypress: q
21506.0157 	DATA 	Keypress: q
21506.3355 	DATA 	Keypress: q
21506.6511 	DATA 	Keypress: q
21506.9315 	DATA 	Keypress: q
21507.5668 	DATA 	Keypress: escape
21507.8321 	DATA 	Keypress: escape
