36.0992 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1280, 1024]. Using actual size
89.4136 	DATA 	Keypress: o
89.4143 	Level start key press 	25
91.4273 	DATA 	Keypress: o
93.4273 	DATA 	Keypress: o
95.4268 	DATA 	Keypress: o
97.4253 	DATA 	Keypress: o
98.5731 	Level image=waterlogo.jpg 	25
99.4586 	DATA 	Keypress: o
99.4731 	Level injecting via pump at address 0 	25
105.4618 	DATA 	Keypress: o
105.4632 	DATA 	Keypress: o
105.4645 	DATA 	Keypress: o
105.4869 	Level WAIT 	25
106.4700 	Level RINSE 	25
108.4702 	DATA 	Keypress: o
108.4872 	Level jitter 	25
114.4559 	Level finished 	25
114.4574 	DATA 	Keypress: o
114.4586 	DATA 	Keypress: o
114.4597 	DATA 	Keypress: o
114.4848 	Level image=tasty.jpg 	25
115.4587 	DATA 	Keypress: o
115.4668 	Level injecting via pump at address 1 	25
121.4614 	DATA 	Keypress: o
121.4630 	DATA 	Keypress: o
121.4645 	DATA 	Keypress: o
121.4740 	Level WAIT 	25
122.4651 	Level RINSE 	25
124.4614 	DATA 	Keypress: o
124.4808 	Level jitter 	25
130.4559 	Level finished 	25
130.4573 	DATA 	Keypress: o
130.4586 	DATA 	Keypress: o
130.4596 	DATA 	Keypress: o
130.4787 	Level image=tasty.jpg 	25
131.4591 	DATA 	Keypress: o
131.4788 	Level injecting via pump at address 1 	25
137.4617 	DATA 	Keypress: o
137.4633 	DATA 	Keypress: o
137.4645 	DATA 	Keypress: o
137.4768 	Level WAIT 	25
138.4736 	Level RINSE 	25
140.4628 	DATA 	Keypress: o
140.4740 	Level jitter 	25
142.4559 	Level finished 	25
142.4574 	DATA 	Keypress: o
142.4762 	Level image=waterlogo.jpg 	25
143.4591 	DATA 	Keypress: o
143.4747 	Level injecting via pump at address 0 	25
149.4618 	DATA 	Keypress: o
149.4632 	DATA 	Keypress: o
149.4644 	DATA 	Keypress: o
149.4898 	Level WAIT 	25
150.4889 	Level RINSE 	25
152.4613 	DATA 	Keypress: o
152.4893 	Level jitter 	25
158.4559 	Level finished 	25
158.4580 	DATA 	Keypress: o
158.4595 	DATA 	Keypress: o
158.4607 	DATA 	Keypress: o
158.4869 	Level image=tasty.jpg 	25
159.4588 	DATA 	Keypress: o
159.4703 	Level injecting via pump at address 1 	25
165.4616 	DATA 	Keypress: o
165.4630 	DATA 	Keypress: o
165.4642 	DATA 	Keypress: o
165.4764 	Level WAIT 	25
166.4669 	Level RINSE 	25
168.4611 	DATA 	Keypress: o
168.4837 	Level jitter 	25
173.4559 	Level finished 	25
173.4575 	DATA 	Keypress: o
173.4592 	DATA 	Keypress: o
173.4604 	DATA 	Keypress: o
173.4812 	Level image=waterlogo.jpg 	25
174.4651 	Level injecting via pump at address 0 	25
180.4617 	DATA 	Keypress: o
180.4628 	DATA 	Keypress: o
180.4638 	DATA 	Keypress: o
180.4802 	Level WAIT 	25
181.4591 	DATA 	Keypress: o
181.4767 	Level RINSE 	25
183.4618 	DATA 	Keypress: o
183.4788 	Level jitter 	25
188.4559 	Level finished 	25
188.4572 	DATA 	Keypress: o
188.4587 	DATA 	Keypress: o
188.4941 	Level image=tasty.jpg 	25
189.4591 	DATA 	Keypress: o
189.4767 	Level injecting via pump at address 1 	25
195.4625 	DATA 	Keypress: o
195.4638 	DATA 	Keypress: o
195.4651 	DATA 	Keypress: o
195.4912 	Level WAIT 	25
196.4738 	Level RINSE 	25
198.4627 	DATA 	Keypress: o
198.4738 	Level jitter 	25
204.4559 	Level finished 	25
204.4572 	DATA 	Keypress: o
204.4582 	DATA 	Keypress: o
204.4596 	DATA 	Keypress: o
204.4878 	Level image=waterlogo.jpg 	25
205.4588 	DATA 	Keypress: o
205.4716 	Level injecting via pump at address 0 	25
211.4622 	DATA 	Keypress: o
211.4635 	DATA 	Keypress: o
211.4649 	DATA 	Keypress: o
211.4697 	Level WAIT 	25
212.4686 	Level RINSE 	25
214.4617 	DATA 	Keypress: o
214.4678 	Level jitter 	25
217.4559 	Level finished 	25
217.4573 	DATA 	Keypress: o
217.4586 	DATA 	Keypress: o
217.4850 	Level image=tasty.jpg 	25
218.4677 	Level injecting via pump at address 1 	25
224.4612 	DATA 	Keypress: o
224.4625 	DATA 	Keypress: o
224.4638 	DATA 	Keypress: o
224.4801 	Level WAIT 	25
225.4584 	DATA 	Keypress: o
225.4817 	Level RINSE 	25
227.4615 	DATA 	Keypress: o
227.4807 	Level jitter 	25
235.4559 	Level finished 	25
235.4573 	DATA 	Keypress: o
235.4586 	DATA 	Keypress: o
235.4600 	DATA 	Keypress: o
235.4612 	DATA 	Keypress: o
235.4777 	Level image=waterlogo.jpg 	25
236.4618 	Level injecting via pump at address 0 	25
242.4618 	DATA 	Keypress: o
242.4633 	DATA 	Keypress: o
242.4647 	DATA 	Keypress: o
242.4763 	Level WAIT 	25
243.4590 	DATA 	Keypress: o
243.4752 	Level RINSE 	25
245.4606 	DATA 	Keypress: o
245.4742 	Level jitter 	25
247.4559 	Level finished 	25
247.4574 	DATA 	Keypress: o
247.4747 	Level image=tasty.jpg 	25
248.4647 	Level injecting via pump at address 1 	25
254.4614 	DATA 	Keypress: o
254.4627 	DATA 	Keypress: o
254.4642 	DATA 	Keypress: o
254.4717 	Level WAIT 	25
255.4587 	DATA 	Keypress: o
255.4715 	Level RINSE 	25
257.4622 	DATA 	Keypress: o
257.4703 	Level jitter 	25
266.4559 	Level finished 	25
266.4574 	DATA 	Keypress: o
266.4586 	DATA 	Keypress: o
266.4598 	DATA 	Keypress: o
266.4610 	DATA 	Keypress: o
266.4835 	Level image=waterlogo.jpg 	25
267.4585 	DATA 	Keypress: o
267.4849 	Level injecting via pump at address 0 	25
273.4616 	DATA 	Keypress: o
273.4634 	DATA 	Keypress: o
273.4649 	DATA 	Keypress: o
273.4820 	Level WAIT 	25
274.4820 	Level RINSE 	25
276.4613 	DATA 	Keypress: o
276.4813 	Level jitter 	25
278.4559 	Level finished 	25
278.4572 	DATA 	Keypress: o
278.4810 	Level image=tasty.jpg 	25
279.4593 	DATA 	Keypress: o
279.4805 	Level injecting via pump at address 1 	25
285.4618 	DATA 	Keypress: o
285.4631 	DATA 	Keypress: o
285.4645 	DATA 	Keypress: o
285.4777 	Level WAIT 	25
286.4781 	Level RINSE 	25
288.4615 	DATA 	Keypress: o
288.4775 	Level jitter 	25
291.4559 	Level finished 	25
291.4575 	DATA 	Keypress: o
291.4587 	DATA 	Keypress: o
291.4758 	Level image=waterlogo.jpg 	25
292.4759 	Level injecting via pump at address 0 	25
298.4610 	DATA 	Keypress: o
298.4620 	DATA 	Keypress: o
298.4632 	DATA 	Keypress: o
298.4743 	Level WAIT 	25
299.4584 	DATA 	Keypress: o
299.4681 	Level RINSE 	25
301.4614 	DATA 	Keypress: o
301.4736 	Level jitter 	25
305.4559 	Level finished 	25
305.4574 	DATA 	Keypress: o
305.4588 	DATA 	Keypress: o
305.4712 	Level image=tasty.jpg 	25
306.4716 	Level injecting via pump at address 1 	25
312.4614 	DATA 	Keypress: o
312.4627 	DATA 	Keypress: o
312.4641 	DATA 	Keypress: o
312.4865 	Level WAIT 	25
