24.4846 	DATA 	Keypress: 4
24.4857 	DATA 	Keypress: 5
40.8105 	DATA 	Keypress: o
40.8112 	Level start key press 	25
42.8221 	DATA 	Keypress: o
44.8223 	DATA 	Keypress: o
46.8225 	DATA 	Keypress: o
48.8226 	DATA 	Keypress: o
49.3368 	Level image=tasty.jpg 	25
50.2868 	Level injecting via pump at address 1 	25
56.2752 	DATA 	Keypress: o
56.2764 	DATA 	Keypress: o
56.2775 	DATA 	Keypress: o
56.3044 	Level WAIT 	25
57.2729 	DATA 	Keypress: o
57.3041 	Level RINSE 	25
59.2848 	DATA 	Keypress: o
59.3042 	Level jitter 	25
68.2702 	Level finished 	25
68.2718 	DATA 	Keypress: o
68.2733 	DATA 	Keypress: o
68.2745 	DATA 	Keypress: o
68.2758 	DATA 	Keypress: o
68.3051 	Level image=waterlogo.jpg 	25
69.2727 	DATA 	Keypress: o
69.2883 	Level injecting via pump at address 0 	25
75.2759 	DATA 	Keypress: o
75.2773 	DATA 	Keypress: o
75.2785 	DATA 	Keypress: o
75.3053 	Level WAIT 	25
76.2887 	Level RINSE 	25
78.2750 	DATA 	Keypress: o
78.2892 	Level jitter 	25
82.2702 	Level finished 	25
82.2716 	DATA 	Keypress: o
82.2729 	DATA 	Keypress: o
82.3058 	Level image=tasty.jpg 	25
83.2727 	DATA 	Keypress: o
83.2893 	Level injecting via pump at address 1 	25
89.2760 	DATA 	Keypress: o
89.2774 	DATA 	Keypress: o
89.2787 	DATA 	Keypress: o
89.2900 	Level WAIT 	25
90.2896 	Level RINSE 	25
92.2754 	DATA 	Keypress: o
92.2897 	Level jitter 	25
96.2702 	Level finished 	25
96.2720 	DATA 	Keypress: o
96.2738 	DATA 	Keypress: o
96.2901 	Level image=waterlogo.jpg 	25
97.2730 	DATA 	Keypress: o
97.2903 	Level injecting via pump at address 0 	25
103.2757 	DATA 	Keypress: o
103.2770 	DATA 	Keypress: o
103.2783 	DATA 	Keypress: o
103.3077 	Level WAIT 	25
104.2906 	Level RINSE 	25
106.2754 	DATA 	Keypress: o
106.2907 	Level jitter 	25
110.2702 	Level finished 	25
110.2715 	DATA 	Keypress: o
110.2728 	DATA 	Keypress: o
110.3077 	Level image=waterlogo.jpg 	25
111.2735 	DATA 	Keypress: o
