23.2810 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1280, 1024]. Using actual size
68.4213 	DATA 	Keypress: o
68.4223 	Level start key press 	25
70.4238 	DATA 	Keypress: o
72.4226 	DATA 	Keypress: o
74.4228 	DATA 	Keypress: o
76.4217 	DATA 	Keypress: o
77.5686 	Level image=tasty.jpg 	25
78.4886 	DATA 	Keypress: o
78.5021 	Level injecting via pump at address 1 	25
84.4913 	DATA 	Keypress: o
84.4928 	DATA 	Keypress: o
84.4940 	DATA 	Keypress: o
84.5171 	Level WAIT 	25
85.4991 	Level RINSE 	25
87.4992 	DATA 	Keypress: o
87.5151 	Level jitter 	25
96.4854 	Level finished 	25
96.4871 	DATA 	Keypress: o
96.4884 	DATA 	Keypress: o
96.4897 	DATA 	Keypress: o
96.4909 	DATA 	Keypress: o
96.4921 	DATA 	Keypress: o
96.5136 	Level image=waterlogo.jpg 	25
97.4964 	Level injecting via pump at address 0 	25
103.4912 	DATA 	Keypress: o
103.4928 	DATA 	Keypress: o
103.4940 	DATA 	Keypress: o
103.5104 	Level WAIT 	25
104.4881 	DATA 	Keypress: o
104.4941 	Level RINSE 	25
106.4914 	DATA 	Keypress: o
106.5056 	Level jitter 	25
110.4854 	Level finished 	25
110.4871 	DATA 	Keypress: o
110.4885 	DATA 	Keypress: o
110.5064 	Level image=tasty.jpg 	25
111.5085 	Level injecting via pump at address 1 	25
117.4911 	DATA 	Keypress: o
117.4924 	DATA 	Keypress: o
117.4936 	DATA 	Keypress: o
117.5069 	Level WAIT 	25
118.4886 	DATA 	Keypress: o
118.5054 	Level RINSE 	25
120.4908 	DATA 	Keypress: o
120.5054 	Level jitter 	25
124.4854 	Level finished 	25
124.4868 	DATA 	Keypress: o
124.4881 	DATA 	Keypress: o
124.5033 	Level image=waterlogo.jpg 	25
125.5031 	Level injecting via pump at address 0 	25
131.4915 	DATA 	Keypress: o
131.4927 	DATA 	Keypress: o
131.4940 	DATA 	Keypress: o
131.5015 	Level WAIT 	25
132.4884 	DATA 	Keypress: o
132.5014 	Level RINSE 	25
134.4905 	DATA 	Keypress: o
134.5173 	Level jitter 	25
138.4854 	Level finished 	25
138.4868 	DATA 	Keypress: o
138.4881 	DATA 	Keypress: o
138.4994 	Level image=waterlogo.jpg 	25
139.4984 	Level injecting via pump at address 0 	25
145.4903 	DATA 	Keypress: o
145.4914 	DATA 	Keypress: o
145.4926 	DATA 	Keypress: o
145.4975 	Level WAIT 	25
146.4883 	DATA 	Keypress: o
146.4970 	Level RINSE 	25
148.4905 	DATA 	Keypress: o
148.5128 	Level jitter 	25
152.4854 	Level finished 	25
152.4868 	DATA 	Keypress: o
152.4881 	DATA 	Keypress: o
152.5109 	Level image=tasty.jpg 	25
153.5084 	Level injecting via pump at address 1 	25
159.4914 	DATA 	Keypress: o
159.4927 	DATA 	Keypress: o
159.4939 	DATA 	Keypress: o
159.5097 	Level WAIT 	25
160.4883 	DATA 	Keypress: o
160.5083 	Level RINSE 	25
162.4917 	DATA 	Keypress: o
162.5083 	Level jitter 	25
168.4854 	Level finished 	25
168.4869 	DATA 	Keypress: o
168.4884 	DATA 	Keypress: o
168.4897 	DATA 	Keypress: o
168.5225 	Level image=waterlogo.jpg 	25
169.5065 	Level injecting via pump at address 0 	25
175.4909 	DATA 	Keypress: o
175.4925 	DATA 	Keypress: o
175.4938 	DATA 	Keypress: o
175.5037 	Level WAIT 	25
176.4884 	DATA 	Keypress: o
176.4934 	Level RINSE 	25
178.4908 	DATA 	Keypress: o
178.5021 	Level jitter 	25
181.4854 	Level finished 	25
181.4867 	DATA 	Keypress: o
181.5026 	Level image=tasty.jpg 	25
182.4883 	DATA 	Keypress: o
182.5011 	Level injecting via pump at address 1 	25
188.4911 	DATA 	Keypress: o
188.4927 	DATA 	Keypress: o
188.4940 	DATA 	Keypress: o
188.4990 	Level WAIT 	25
189.4991 	Level RINSE 	25
191.4909 	DATA 	Keypress: o
191.4993 	Level jitter 	25
194.4854 	Level finished 	25
