subject,anat_bids,training_r1,training_r2,pe_r1,pe_r2,resting,magnitude1,magnitude2,phasediff,fmriprep check,anat_fmriprep,pe_epi_r1,pe_sdc_r1,pe_epi_r2,pe_sdc_r2,train_epi_r1,train_sdc_r1,train_epi_r2,train_sdc_r2,From TSV Files,fd_r1,min_r1,max_r1,mcflirt_3mm_r1,fd_r2
sub-001,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,,,,,,,,,,,,,,
sub-002,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,,,,,,,,,,,,,,
sub-003,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-004,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-005,missing files,,,,,,,,,,,,,,,,,,,,,,,,
sub-006,good,bad volume,bad volume,bad_volume,bad volume,bad_volume,good,good,good,,,,,,,,,,,,,,,,
sub-007,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-008,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-009,good,good,good,good,good,good,good,good,good,,,,,,,,,,,,,,,,
sub-010,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-011,good,good,good,good,good,good,good,good,good,,,,,,,,,,,,,,,,
sub-012,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-013,good,good,good,good,good,good,good,good,good,,,,,,,,,,,,,,,,
sub-014,good,good,good,good,good,good,good,good,good,,good,good,missing,good,missing,good,missing,good,good,,,,,,
sub-015,good,good,good,good,good,good,good,good,good,,,,,,,,,,,,,,,,
sub-016,good,good,good,good,good,good,good,good,good,,,,,,,,,,,,,,,,
sub-017,good,good,good,good,good,good,good,good,good,,,,,,,,,,,,,,,,
sub-018,good,good,good,,missing,good,good,good,good,,,,,,,,,,,,,,,,
sub-019,good,good,good,good,good,good,good,good,good,,,,,,,,,,,,,,,,
sub-020,good,good,missing,bad_volume,missing,good,good,good,good,,good,good,good,missing,missing,good,good,missing,missing,,,,,,
sub-021,good,good,good,good,good,good,good,good,good,,,,,,,,,,,,,,,,
sub-022,good,good,good,good,good,good,good,good,good,,good,check,check,check,check,good,good,check,check,,,,,,
sub-023,good,good,good,good,good,good,good,good,good,,,,,,,,,,,,,,,,
sub-024,,,,,,,,,,,,,,,,,,,,,,,,,
sub-025,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-026,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-027,missing,missing,missing,missing,missing,missing,missing,missing,missing,,good,missing,missing,missing,misisng ,missing ,missing,missing,missing,,,,,,
sub-028,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-029,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-030,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-031,good,bad volume,bad volume,good,good,good,good,good,good,,,,,,,,,,,,,,,,
sub-032,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-033,good,good,good,good,good,good,good,good,good,,good,good,good,check,check,check,check,check,check,,,,,,
sub-034,good,good,good,good,good,good,good,good,good,,good,check,missing,check,missing,check,missing,check,missing,,,,,,
sub-035,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-036,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-037,good,good,bad volume,,missing,good,good,good,good,,good,missing,missing,missing,missing,good,good,good,good,,,,,,
sub-038,good,good,good,good,good,good,good,good,good,,good,check,check,check,check,check,check,check,check,,,,,,
sub-039,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-040,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-041,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-042,missing,missing,missing,missing,missing,missing,missing,missing,missing,,,,,,,,,,,,,,,,
sub-043,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-044,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-045,missing,good,good,good,good,good,missing,missing,missing,,good,missing,missing,missing,missing,missing,missing,missing,missing,,,,,,
sub-046,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-047,good,good,good,good,good,good,good,good,good,,good,good,good,good,good,good,good,good,good,,,,,,
sub-048,good,good,good,good,good,good,good,good,good,,,,,,,,,,,,,,,,
sub-049,good,good,good,good,good,good,good,good,good,,,,,,,,,,,,,,,,
sub-050,good,good,good,good,good,good,good,good,good,,,,,,,,,,,,,,,,
sub-051,good,good,good,good,good,good,good,good,good,,,,,,,,,,,,,,,,
sub-052,good,good,good,bad_volume,good,good,good,good,good,,,,,,,,,,,,,,,,
sub-053,good,good,good,good,good,good,good,good,good,,good,bad,bad,bad,bad,bad,bad,bad,bad,,,,,,
sub-054,good,missing,good,good,good,good,good,good,good,,,,,,,,,,,,,,,,
sub-055,good,bad volume,bad volume,bad_volume,bad volume,good,missing,missing,good,,,,,,,,,,,,,,,,
sub-056,good,good,good,good,missing,good,good,good,good,,,,,,,,,,,,,,,,
