participantID,s2_task-resting_vol,s2_task-resting_vol_check,s2_task-training_run-1_vol,s2_task-training_run-1_vol_check,s2_task-training_run-2_vol,s2_task-training_run-2_vol_check,s2_task-pe_run-1_vol,s2_task-pe_run-1_vol_check,s2_task-pe_run-2_vol,s2_task-pe_run-2_vol_check,s1_task-resting_vol,s1_task-resting_vol_check,s1_task-training_run-1_vol,s1_task-training_run-1_vol_check,s1_task-training_run-2_vol,s1_task-training_run-2_vol_check,s1_task-pe_run-1_vol,s1_task-pe_run-1_vol_check,s1_task-pe_run-2_vol,s1_task-pe_run-2_vol_check
sub-001,147,pass,243,pass,243,pass,193,pass,193,pass,,,,,,,,,,
sub-002,147,pass,243,pass,243,pass,193,pass,193,pass,,,,,,,,,,
sub-003,,,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-004,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-006,147,pass,243,pass,243,pass,193,pass,193,pass,93,fail,182,fail,185,fail,141,fail,141,fail
sub-007,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-008,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-009,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-010,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-011,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-012,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-013,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-014,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-015,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-016,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-017,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-018,147,pass,243,pass,243,pass,193,pass,,,147,pass,243,pass,243,pass,,,,
sub-019,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-020,,,,,,,,,,,147,pass,243,pass,,,50,fail,,
sub-021,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-022,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-023,147,pass,,,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-025,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-026,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-027,147,pass,243,pass,243,pass,193,pass,193,pass,,,,,,,,,,
sub-028,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-029,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-030,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-031,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,228,fail,231,fail,193,pass,193,pass
sub-032,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-033,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-034,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-036,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-037,,,,,,,,,,,147,pass,243,pass,106,fail,,,,
sub-038,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-039,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-040,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-041,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-042,147,pass,,,,,193,pass,193,pass,,,,,,,,,,
sub-043,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-044,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-045,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-046,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-047,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-048,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-049,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-050,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-051,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-052,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,131,fail,193,pass
sub-053,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,193,pass
sub-054,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,,,243,pass,193,pass,193,pass
sub-055,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,239,fail,237,fail,190,fail,192,fail
sub-056,147,pass,243,pass,243,pass,193,pass,193,pass,147,pass,243,pass,243,pass,193,pass,,
sub-035,,,,,,,,,,,147,pass,243,pass,243,pass,193,pass,193,pass
